gbifID,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_2,wc2.1_2.5m_bio_3,wc2.1_2.5m_bio_4,wc2.1_2.5m_bio_5,wc2.1_2.5m_bio_6,wc2.1_2.5m_bio_7,wc2.1_2.5m_bio_8,wc2.1_2.5m_bio_9,wc2.1_2.5m_bio_10,wc2.1_2.5m_bio_11,wc2.1_2.5m_bio_12,wc2.1_2.5m_bio_13,wc2.1_2.5m_bio_14,wc2.1_2.5m_bio_15,wc2.1_2.5m_bio_16,wc2.1_2.5m_bio_17,wc2.1_2.5m_bio_18,wc2.1_2.5m_bio_19
3044961479,20.98183250427246,12.079000473022461,77.64849853515625,84.84062194824219,28.239999771118164,12.684000015258789,15.555999755859375,21.761999130249023,19.724666595458984,21.78066635131836,19.724666595458984,827,132,19,54.41695785522461,341,82,295,82
3044944191,21.261333465576172,10.735333442687988,58.663021087646484,259.9464416503906,29.527999877929688,11.227999687194824,18.299999237060547,24.280000686645508,17.881332397460938,24.30933380126953,17.881332397460938,941,141,29,47.39931869506836,369,99,359,99
3044939388,14.254500389099121,11.88700008392334,79.01488494873047,76.7054443359375,22.020000457763672,6.97599983215332,15.044000625610352,15.125333786010742,13.353333473205566,15.125333786010742,13.289999961853027,1260,227,53,54.459083557128906,506,192,506,194
3044813070,21.769832611083984,12.921000480651855,73.498291015625,146.04869079589844,31.040000915527344,13.460000038146973,17.580001831054688,22.673999786376953,19.92066764831543,23.26533317565918,19.687334060668945,634,138,3,83.16368103027344,285,15,175,19
3044804214,22.77199935913086,14.061333656311035,61.360328674316406,318.7955627441406,32.34000015258789,9.423999786376953,22.916000366210938,26.163333892822266,18.4233341217041,26.163333892822266,18.4233341217041,511,94,5,80.1864013671875,269,21,269,21
3044803667,21.68316650390625,13.653666496276855,61.041072845458984,311.2528076171875,30.92799949645996,8.5600004196167,22.368000030517578,24.964000701904297,17.399333953857422,24.964000701904297,17.399333953857422,601,106,8,76.95921325683594,310,29,310,29
3044800719,26.776500701904297,11.604999542236328,68.02461242675781,120.8199234008789,34.56800079345703,17.507999420166016,17.060001373291016,27.369333267211914,25.689332962036133,27.948665618896484,24.980667114257812,875,324,0,152.202880859375,749,1,249,2
3044691362,18.502500534057617,11.56433391571045,70.58308410644531,141.98159790039062,26.468000411987305,10.083999633789062,16.384000778198242,19.728666305541992,16.874000549316406,19.728666305541992,16.40999984741211,740,163,2,87.60447692871094,379,8,379,13
3044655651,19.4685001373291,13.027667045593262,75.20011138916016,131.5278778076172,27.483999252319336,10.15999984741211,17.323999404907227,20.51799964904785,17.516000747680664,20.553333282470703,17.516000747680664,664,130,3,84.83422088623047,328,13,318,13
3044628911,20.98183250427246,12.079000473022461,77.64849853515625,84.84062194824219,28.239999771118164,12.684000015258789,15.555999755859375,21.761999130249023,19.724666595458984,21.78066635131836,19.724666595458984,827,132,19,54.41695785522461,341,82,295,82
