Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5510","Production","56","Maize","1968","1968","tonnes","5358000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1969","1969","tonnes","5378000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1970","1970","tonnes","6179000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1971","1971","tonnes","8644000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1972","1972","tonnes","9525000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1973","1973","tonnes","4202000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1974","1974","tonnes","11083000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1975","1975","tonnes","9139000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1976","1976","tonnes","7518000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1977","1977","tonnes","9793000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1978","1978","tonnes","10205000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1979","1979","tonnes","8475000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1980","1980","tonnes","11040000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1981","1981","tonnes","14872000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1982","1982","tonnes","8781000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1983","1983","tonnes","4399000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1984","1984","tonnes","4797000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1985","1985","tonnes","8444000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1986","1986","tonnes","8600000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1987","1987","tonnes","7890000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1988","1988","tonnes","7670000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1989","1989","tonnes","12481000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1990","1990","tonnes","9180000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1991","1991","tonnes","8614000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1992","1992","tonnes","3277000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1993","1993","tonnes","9997000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1994","1994","tonnes","13275000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1995","1995","tonnes","4866000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1996","1996","tonnes","10171000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1997","1997","tonnes","10136000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1998","1998","tonnes","7693000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","1999","1999","tonnes","7946000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2000","2000","tonnes","11431183","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2001","2001","tonnes","7772000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2002","2002","tonnes","10076000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2003","2003","tonnes","9705000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2004","2004","tonnes","9710070","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2005","2005","tonnes","11715948","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2006","2006","tonnes","6935056","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2007","2007","tonnes","7125000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2008","2008","tonnes","12700000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2009","2009","tonnes","12050000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2010","2010","tonnes","12815000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2011","2011","tonnes","10360000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2012","2012","tonnes","12120656","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2013","2013","tonnes","11810600","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2014","2014","tonnes","14250000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2015","2015","tonnes","9955000","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2016","2016","tonnes","7778500","","Official data"
"QC","Crops","202","South Africa","5510","Production","56","Maize","2017","2017","tonnes","16820000","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1961","1961","ha","750000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1962","1962","ha","750000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1963","1963","ha","770000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1964","1964","ha","790000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1965","1965","ha","800000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1966","1966","ha","820000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1967","1967","ha","830000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1968","1968","ha","850000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1969","1969","ha","870000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1970","1970","ha","900000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","56","Maize","1971","1971","ha","1007328","","Official data"
