uuid,x,y,date,season,rained,planted
7da072ff,27.066,-16.944,2015-11-15,1,0,0
7eed2695,26.923,-17.049,2015-11-15,1,0,0
7f49bc48,27.284,-16.749,2015-11-15,1,0,0
7f9ab0f7,27.094,-16.976,2015-11-15,1,0,0
814ca378,27.061,-17.004,2015-11-15,1,1,0
85867e62,27.111,-16.933,2015-11-15,1,0,0
85f03621,26.938,-16.513,2015-11-15,1,0,0
88462901,26.881,-16.597,2015-11-15,1,0,0
890ca2c8,27.107,-16.94,2015-11-15,1,0,0
8b816f5f,27.255,-16.915,2015-11-15,1,0,0
8d074cec,26.869,-16.596,2015-11-15,1,0,0
8d2db211,26.934,-17.036,2015-11-15,1,0,0
8d690816,26.936,-16.744,2015-11-15,1,0,0
8da4a6d6,26.858,-16.594,2015-11-15,1,0,0
92563785,27.234,-16.923,2015-11-15,1,0,0
926caf97,26.869,-16.61,2015-11-15,1,0,0
95374d3f,27.039,-16.842,2015-11-15,1,0,0
96b6d097,26.995,-16.953,2015-11-15,1,0,0
975ffe94,26.831,-16.818,2015-11-15,1,0,0
981208ad,27.344,-16.776,2015-11-15,1,0,0
991ece73,27.086,-16.967,2015-11-15,1,0,0
99dc8db6,27.182,-16.917,2015-11-15,1,0,0
9a8786eb,27.258,-16.929,2015-11-15,1,0,0
9b42e80a,26.869,-16.614,2015-11-15,1,0,0
9c0fe82f,26.974,-16.76,2015-11-15,1,0,0
a006eab2,27.335,-16.798,2015-11-15,1,0,0
a0f8b4ef,27.039,-16.83,2015-11-15,1,0,0
a30b3bde,27.048,-16.926,2015-11-15,1,1,0
a5ad178a,27.06,-17.005,2015-11-15,1,0,0
a62be645,26.863,-16.595,2015-11-15,1,0,0
a67f255e,26.815,-16.585,2015-11-15,1,0,0
a84d2d02,26.831,-16.817,2015-11-15,1,0,0
a914f6e1,26.788,-16.863,2015-11-15,1,0,0
a9a99b3e,26.92,-17.052,2015-11-15,1,0,0
a9d39da7,26.928,-16.52,2015-11-15,1,0,0
aa5f0d29,26.951,-16.727,2015-11-15,1,0,0
aac48cd5,27.05,-17.003,2015-11-15,1,1,0
abd530e7,26.981,-16.762,2015-11-15,1,0,0
ace80c2e,27.306,-16.931,2015-11-15,1,0,0
ad783a0a,27.336,-16.797,2015-11-15,1,0,0
afaecd2e,27.305,-16.793,2015-11-15,1,0,0
affb013a,26.963,-16.92,2015-11-15,1,0,0
b0e82f78,27.339,-16.834,2015-11-15,1,0,0
b1e1a3f3,26.789,-16.878,2015-11-15,1,0,0
b3d90826,26.922,-16.526,2015-11-15,1,0,0
b5a7a1f4,26.935,-16.513,2015-11-15,1,0,0
b66a5a55,26.974,-16.766,2015-11-15,1,0,0
b825d94e,27.113,-16.773,2015-11-15,1,1,0
b9d85ebc,27.234,-16.923,2015-11-15,1,0,0
ba5973c2,26.835,-16.815,2015-11-15,1,0,0
baea69b4,27.279,-16.877,2015-11-15,1,0,0
bb876912,26.936,-16.505,2015-11-15,1,0,0
bba2dfd0,27.339,-16.797,2015-11-15,1,0,0
bc32b0b4,26.864,-16.599,2015-11-15,1,0,0
bc8d8a74,27.275,-16.877,2015-11-15,1,1,0
bf8b44c4,26.791,-16.874,2015-11-15,1,0,0
c084cfc1,26.795,-16.879,2015-11-15,1,0,0
c124742c,27.209,-16.917,2015-11-15,1,0,1
c152455a,27.085,-16.934,2015-11-15,1,0,0
c2668cdf,27.123,-16.769,2015-11-15,1,0,1
c32d45ee,27.068,-16.939,2015-11-15,1,0,0
c42827cf,27.096,-16.949,2015-11-15,1,0,0
c6f737ea,27.304,-16.793,2015-11-15,1,1,0
c784ee02,26.859,-16.194,2015-11-15,1,0,0
c7d6f91c,26.831,-16.817,2015-11-15,1,0,0
c7e2a514,26.81,-16.606,2015-11-15,1,0,0
c946796f,27.004,-16.841,2015-11-15,1,0,0
c9ee7136,27.039,-16.842,2015-11-15,1,0,0
c9f5f663,27.128,-16.779,2015-11-15,1,0,0
cc014f7d,26.778,-16.87,2015-11-15,1,0,1
cc230be1,27.286,-16.788,2015-11-15,1,1,0
cdcc9666,27.293,-16.747,2015-11-15,1,0,0
ce041f38,26.961,-16.743,2015-11-15,1,0,0
d027ee45,27.293,-16.747,2015-11-15,1,0,0
d16f790f,27.016,-16.932,2015-11-15,1,0,1
d1d9637e,27.136,-16.8,2015-11-15,1,1,0
d1e20dc3,26.912,-16.254,2015-11-15,1,0,0
d263ea45,26.827,-16.82,2015-11-15,1,0,0
d362925c,26.859,-16.193,2015-11-15,1,0,0
d6313bed,27.301,-16.758,2015-11-15,1,0,0
d644ee96,26.867,-16.61,2015-11-15,1,0,0
d6e18dd9,27.086,-16.961,2015-11-15,1,0,0
d9ce012d,27.325,-16.757,2015-11-15,1,0,0
de338705,27.293,-16.747,2015-11-15,1,0,0
dea21f52,27.097,-16.899,2015-11-15,1,0,0
df1604d4,27.271,-16.784,2015-11-15,1,0,0
dfc6f992,26.823,-16.625,2015-11-15,1,0,0
e2510e54,27.123,-16.922,2015-11-15,1,0,0
e25b2b0f,26.789,-16.877,2015-11-15,1,0,0
e27cd268,27.056,-16.935,2015-11-15,1,0,0
e3407303,26.781,-16.856,2015-11-15,1,0,0
e340de50,26.956,-16.738,2015-11-15,1,0,0
e36fdd30,26.947,-16.746,2015-11-15,1,0,0
e82a9751,26.79,-16.823,2015-11-15,1,0,0
e91d6065,27.135,-16.77,2015-11-15,1,0,0
e9f6b304,27.066,-16.944,2015-11-15,1,0,0
ebd881fc,27.31,-16.803,2015-11-15,1,0,0
ee2f89cf,27.09,-16.971,2015-11-15,1,0,0
