tenant,site_id,local,lat,long,site_group,Tair,Tabove,Tbelow,CGDD,b1r,b2r,b3r,b4r,b5r,b6r,b7r,NDVI,CropType,PlantingDate
planet,UNLEN_CSP1_IMZ1,2020-06-05 10:00:00-05:00,41.1659,-96.4802,Lincoln,27.4436,27.93,28.01,345,0.097957762,0.082182563,0.201266659,0.144732759,0.09456692,0.138810138,0.123002159,-0.020887919,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-06 10:00:00-05:00,41.1659,-96.4802,Lincoln,25.5375,17.43,24.31,363,0.052028782,0.076159543,0.091070667,0.100127838,0.224968599,0.281620118,0.23288201,0.475424366,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-07 10:00:00-05:00,41.1644,-96.4816,Lincoln,29.6176,9.184,27.02,381,0.049295886,0.073851827,0.086314547,0.099132379,0.237836735,0.331875937,0.258704312,0.539997836,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-08 10:00:00-05:00,41.1644,-96.4815,Lincoln,27.6509,8.577,25.93,393,0.048442505,0.072182671,0.084784001,0.095756103,0.245953023,0.348173709,0.265267943,0.568598005,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-09 10:00:00-05:00,41.1644,-96.4816,Lincoln,26.7277,18.71,26.57,402,0.045239567,0.067605166,0.080280956,0.089901631,0.243380101,0.333625566,0.258887133,0.575462301,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-10 10:00:00-05:00,41.1644,-96.4816,Lincoln,17.1107,-2.374,12.28,414,0.041637257,0.059222161,0.068452683,0.072028271,0.225693547,0.342177147,0.25829288,0.652209905,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-11 10:00:00-05:00,41.1644,-96.4816,Lincoln,24.6367,4.803,23.6,425,0.045031529,0.065455723,0.076470265,0.085015326,0.248029519,0.36322184,0.276293327,0.620668107,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-12 10:00:00-05:00,41.1644,-96.4815,Lincoln,26.0255,5.548,24.27,439,0.041910287,0.062290314,0.072611194,0.080794655,0.248892239,0.365958712,0.277124498,0.638303094,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-13 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.4592,5.71,23.98,455,0.040645476,0.060420948,0.070591182,0.075677398,0.257699625,0.383462513,0.282917321,0.670351472,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-14 10:00:00-05:00,41.1644,-96.4815,Lincoln,26.8067,7.914,24.78,471,0.040060874,0.059274889,0.069513613,0.072626284,0.271380673,0.40417125,0.29373604,0.695357972,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-15 10:00:00-05:00,41.1644,-96.4816,Lincoln,27.2704,8.463,25.8,487,0.038060065,0.056000715,0.065424009,0.068582368,0.265770625,0.399175181,0.290419423,0.706761042,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-16 10:00:00-05:00,41.1644,-96.4815,Lincoln,27.7375,9.327,25.23,504,0.036729755,0.054401963,0.063417133,0.065131603,0.271043347,0.411848345,0.294694276,0.726900035,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-17 10:00:00-05:00,41.1644,-96.4816,Lincoln,26.7836,8.844,24.11,516,0.035072742,0.052014965,0.060853072,0.061344262,0.273146115,0.422125637,0.297774543,0.746233376,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-18 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.8378,19.67,25.05,527,0.040165928,0.05643986,0.065978108,0.063991154,0.293832914,0.416806395,0.305236363,0.73381248,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-19 10:00:00-05:00,41.1644,-96.4815,Lincoln,19.3847,15.47,19.3,540,0.034331488,0.049731372,0.058541132,0.052603615,0.274018291,0.401542708,0.304120454,0.768340677,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-20 10:00:00-05:00,41.1644,-96.4815,Lincoln,22.3364,17.27,20.8,553,0.032051618,0.047649915,0.057440383,0.052076467,0.295218777,0.42263138,0.316004219,0.780595718,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-21 10:00:00-05:00,41.1644,-96.4815,Lincoln,23.0978,18.08,23.66,565,0.066316286,0.054174229,0.066702219,0.05979189,0.342853913,0.478985848,0.338377764,0.778046176,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-22 10:00:00-05:00,41.1644,-96.4816,Lincoln,23.3704,12.6,18.24,573,0.030683124,0.043417789,0.050279182,0.043514798,0.307631383,0.464844942,0.332176708,0.82880313,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-23 10:00:00-05:00,41.1644,-96.4815,Lincoln,21.3887,4.488,18.02,583,0.026881586,0.040217518,0.046498571,0.040074006,0.295094147,0.495325037,0.333995262,0.850302288,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-24 10:00:00-05:00,41.1644,-96.4815,Lincoln,23.3783,9.02,20.32,596,0.02676414,0.040557941,0.0468831,0.040290282,0.310022338,0.50454165,0.341246272,0.852100146,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-25 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.3744,10.02,21.22,612,0.026338855,0.041081025,0.047868554,0.039928187,0.319958086,0.520760877,0.344664215,0.857574581,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-26 10:00:00-05:00,41.1644,-96.4816,Lincoln,27.6149,18.22,26.28,627,0.025945464,0.04090914,0.047725151,0.039845009,0.34453686,0.543454407,0.364369708,0.863380596,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-30 10:00:00-05:00,,,Lincoln,,,,695,,,,,,,,,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-07-01 10:00:00-05:00,,,Lincoln,,,,,,,,,,,,,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-05 10:00:00-05:00,41.1654,-96.4823,Lincoln,27.4309,29.24,26.78,345,0.787632506,0.466528845,0.614580839,0.484223319,0.352591594,0.601564905,0.535090961,0.108070417,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-06 10:00:00-05:00,41.1644,-96.4807,Lincoln,24.9001,17.21,23.89,363,0.045609541,0.064935896,0.077684788,0.083244747,0.193139085,0.246679089,0.229953729,0.495369912,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-07 10:00:00-05:00,41.1644,-96.4807,Lincoln,29.8844,7.447,26.79,380,0.041800741,0.059084832,0.066221905,0.073171537,0.188491975,0.243137289,0.236858712,0.537341163,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-08 10:00:00-05:00,41.1644,-96.4807,Lincoln,27.625,8.424,26.38,393,0.040909333,0.058593379,0.065693765,0.071714037,0.196368642,0.25593682,0.245223988,0.562253323,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-09 10:00:00-05:00,41.1643,-96.4806,Lincoln,26.6139,17.85,26.58,402,0.039128676,0.0561532,0.063490026,0.068955466,0.199222615,0.258479877,0.245804291,0.578814763,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-10 10:00:00-05:00,41.1643,-96.4807,Lincoln,16.9403,-6.042,11.55,413,0.037458434,0.051148987,0.057409392,0.058656033,0.179921121,0.2509145,0.231641007,0.621048989,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-11 10:00:00-05:00,41.1643,-96.4807,Lincoln,24.7897,3.175,24.04,425,0.039248755,0.055200501,0.061237896,0.065876117,0.197835626,0.267648052,0.252321043,0.604969456,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-12 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.8007,3.526,23.93,439,0.036833271,0.05263553,0.058706068,0.062474676,0.199461298,0.269206581,0.252469072,0.623284855,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-13 10:00:00-05:00,41.1643,-96.4807,Lincoln,26.1185,3.894,23.4,455,0.035389692,0.051418955,0.057096999,0.059268025,0.20725367,0.284713752,0.261338496,0.655400204,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-14 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.7518,6.286,24.43,471,0.035804568,0.051351097,0.057401343,0.058921469,0.21920795,0.302876415,0.27154997,0.674285164,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-15 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.6421,6.473,25.56,487,0.034070779,0.048837703,0.054339558,0.055135997,0.218238985,0.302585431,0.272321703,0.691737801,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-16 10:00:00-05:00,41.1643,-96.4807,Lincoln,27.3275,7.72,24.88,504,0.032483338,0.04783871,0.053181147,0.053313313,0.221897646,0.310089733,0.276573949,0.706588519,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-17 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.5937,7.377,23.91,517,0.031826751,0.046066919,0.051559039,0.050117725,0.223454637,0.31707552,0.280532606,0.727022618,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-18 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.1242,19.71,24.55,527,0.035876221,0.051481293,0.058760961,0.055835558,0.250677478,0.351676776,0.295238585,0.725968747,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-19 10:00:00-05:00,41.1644,-96.4806,Lincoln,19.4725,9.414,18.81,540,0.029659447,0.045374355,0.054594509,0.048920087,0.244514425,0.354104828,0.293376428,0.75723542,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-20 10:00:00-05:00,41.1644,-96.4807,Lincoln,21.8385,16.83,20.32,553,0.028211878,0.043150363,0.050349099,0.044893268,0.257770692,0.368092352,0.303669457,0.782591616,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-21 10:00:00-05:00,41.1644,-96.4807,Lincoln,23.2848,19.83,23.34,565,0.064133844,0.054907287,0.063436831,0.057188659,0.299472504,0.449431623,0.331790063,0.774234625,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-22 10:00:00-05:00,41.1644,-96.4807,Lincoln,22.6425,11.06,17.65,573,0.02952875,0.042040072,0.046869131,0.040211042,0.265655502,0.389475169,0.314618069,0.812835316,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-23 10:00:00-05:00,41.1643,-96.4807,Lincoln,21.8175,2.952,18.19,583,0.025258175,0.037204839,0.040935249,0.035084812,0.237858471,0.359766663,0.306929496,0.822288562,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-24 10:00:00-05:00,41.1644,-96.4806,Lincoln,23.8041,6.944,20.21,596,0.024957407,0.037191454,0.041057902,0.034808694,0.251400421,0.370507064,0.31464251,0.82823913,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-26 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.2467,16.66,25.63,626,0.024145274,0.038318157,0.043134144,0.035859076,0.288500728,0.425902575,0.346018008,0.844685776,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-27 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.1975,14.09,22.34,640,0.024573682,0.037889707,0.042064466,0.034908333,0.286925898,0.428955842,0.342975486,0.849488988,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-28 10:00:00-05:00,41.1644,-96.4806,Lincoln,24.9083,8.607,20.1,656,0.023030063,0.036043918,0.039830642,0.032154234,0.286357271,0.432551819,0.348654853,0.86161474,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-29 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.8416,23.35,23.29,673,0.025811915,0.039561166,0.046533154,0.038470732,0.312770288,0.461253349,0.366782259,0.846032108,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-30 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.7435,22.7,23.81,688,0.022471324,0.036742573,0.042464341,0.035219135,0.316738831,0.472681541,0.376385124,0.861314871,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-02 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.3135,11.94,20.82,719,0.02645435,0.040498462,0.045824624,0.037764917,0.326374651,0.49432678,0.38742676,0.858051093,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-03 10:00:00-05:00,41.1643,-96.4806,Lincoln,27.8901,18.1,22.61,733,0.023966154,0.038642273,0.043613619,0.035464937,0.337991378,0.500336757,0.393850678,0.867619168,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-04 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.7253,13.55,23.26,747,0.022900121,0.035921477,0.039187489,0.031261119,0.316127287,0.483551124,0.38886042,0.878553321,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-05 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.4749,14.81,22.96,762,0.023619384,0.036668483,0.040647506,0.032576364,0.31901096,0.488621354,0.388389975,0.874994218,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-06 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.5941,15.74,24.43,777,0.023302869,0.036296194,0.039914581,0.032161022,0.319825903,0.48987522,0.385703192,0.876786248,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-07 10:00:00-05:00,41.1643,-96.4807,Lincoln,27.1972,14.96,22.63,794,0.022777807,0.03457797,0.037960939,0.029951686,0.315490044,0.480116556,0.377597219,0.882558124,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-08 10:00:00-05:00,41.1644,-96.4807,Lincoln,28.4282,14.44,24.52,808,0.020886982,0.032478431,0.035421859,0.027856764,0.312130807,0.481987299,0.382131765,0.890724377,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-09 10:00:00-05:00,41.1644,-96.4807,Lincoln,24.2051,9.193,20.27,821,0.023202029,0.033559451,0.036206543,0.029306524,0.298886689,0.473813412,0.378554425,0.883500844,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-10 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.4815,13.42,25.18,834,0.021564464,0.031753213,0.03498116,0.027676286,0.29916852,0.470810904,0.375607239,0.888958887,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-11 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.1966,12.34,19.35,847,0.022144649,0.032519407,0.035747842,0.02834537,0.299840366,0.470623004,0.372592437,0.886384102,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-12 10:00:00-05:00,41.1643,-96.4807,Lincoln,26.3227,10.02,21.14,861,0.021393068,0.032242621,0.035800197,0.028916275,0.29418145,0.467693706,0.373682727,0.883545333,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-13 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.4646,9.162,20.58,876,0.022204296,0.035444189,0.039268394,0.032789569,0.311559529,0.488700135,0.387240176,0.874246532,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-14 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.4479,14.33,21.34,888,0.022500435,0.034135209,0.037471874,0.032112318,0.305694055,0.474130237,0.372190279,0.873134656,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-15 10:00:00-05:00,41.1643,-96.4807,Lincoln,19.3649,17.79,18.85,900,0.02718354,0.037481329,0.043007891,0.037695992,0.319217476,0.514321655,0.386981699,0.863424686,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-16 10:00:00-05:00,41.1644,-96.4806,Lincoln,24.1634,21.76,21.18,916,0.027225503,0.041745004,0.049673165,0.043779363,0.33311272,0.509377818,0.3997747,0.841710949,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-17 10:00:00-05:00,41.1644,-96.4807,Lincoln,27.8225,20.29,23.16,930,0.02379602,0.037223174,0.042471508,0.037108581,0.321566576,0.499712273,0.377352128,0.861746873,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-18 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.6763,17.42,23.54,946,0.021751765,0.03281403,0.036044455,0.030205737,0.301717371,0.470899814,0.372940009,0.879443615,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-19 10:00:00-05:00,41.1644,-96.4806,Lincoln,23.7905,18.62,22.25,959,0.032252433,0.046008164,0.05390902,0.0471184,0.330857329,0.5037077,0.401921671,0.828917329,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-20 10:00:00-05:00,41.1644,-96.4806,Lincoln,20.7692,18.52,19.44,974,0.024883971,0.035412495,0.042412726,0.036913125,0.303086617,0.484402636,0.373673145,0.858384773,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-21 10:00:00-05:00,41.1644,-96.4806,Lincoln,24.6969,17.05,22.28,987,0.021929485,0.033833483,0.038560954,0.033069123,0.29512687,0.468368203,0.365397434,0.868102665,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-22 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.5891,13.21,21.95,1003,0.022557889,0.03281951,0.035998663,0.030522911,0.284024747,0.454193983,0.36077028,0.874058811,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-23 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.6565,16.55,22.32,1020,0.028533801,0.042347829,0.047770273,0.041802932,0.319159485,0.499471906,0.37509445,0.845538979,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-24 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.9929,22.43,25.21,1038,0.025590709,0.038664177,0.044562785,0.039008621,0.301765812,0.461384423,0.357203785,0.844088076,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-25 10:00:00-05:00,41.1644,-96.4806,Lincoln,28.4258,18.49,23.92,1054,0.024184022,0.033936112,0.036503815,0.032064046,0.297335449,0.462070689,0.362154894,0.870221445,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-26 10:00:00-05:00,41.1643,-96.4807,Lincoln,26.8628,24.32,26.12,1068,0.027888369,0.040805681,0.049500368,0.043026186,0.296310434,0.463694421,0.347573964,0.830177873,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-27 10:00:00-05:00,41.1644,-96.4806,Lincoln,24.5196,10.25,20.37,1080,0.02457866,0.033394207,0.036805201,0.032607001,0.277407962,0.447924923,0.36204539,0.86428789,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-28 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.849,10.35,21.2,1095,0.02163206,0.029452926,0.032321582,0.027020236,0.271443851,0.43857461,0.358502154,0.883932409,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-29 10:00:00-05:00,41.1644,-96.4807,Lincoln,24.7011,15.82,19.11,1108,0.029003813,0.04335667,0.045142853,0.04458495,0.305128466,0.485646187,0.359241599,0.831828245,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-30 10:00:00-05:00,41.1644,-96.4806,Lincoln,22.4386,18.48,20.2,1120,0.031418299,0.044185698,0.050323247,0.045677554,0.308897953,0.472061965,0.376451237,0.823550057,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-07-31 10:00:00-05:00,41.1643,-96.4807,Lincoln,22.9825,10.52,18.9,1131,0.025288984,0.034445053,0.038117997,0.034029242,0.281653265,0.452486248,0.365484887,0.860110346,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-01 10:00:00-05:00,41.1644,-96.4806,Lincoln,22.0336,17.6,21.06,1140,0.020928029,0.032099982,0.036452202,0.032570694,0.272680945,0.454850247,0.346593717,0.866354968,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-02 10:00:00-05:00,41.1644,-96.4806,Lincoln,20.4065,11.15,17.22,1149,0.027966386,0.037146918,0.040802812,0.035855702,0.281844629,0.461412903,0.359808736,0.855789401,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-03 10:00:00-05:00,41.1643,-96.4807,Lincoln,17.2583,15.39,15.31,1156,0.027354471,0.03885402,0.045022483,0.039278234,0.270518422,0.44387918,0.352868694,0.837410198,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-04 10:00:00-05:00,41.1644,-96.4806,Lincoln,21.6661,7.725,18.74,1167,0.023329062,0.033176552,0.036554332,0.032646161,0.274057511,0.443534128,0.36432982,0.862883189,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-05 10:00:00-05:00,41.1644,-96.4807,Lincoln,19.5427,17.23,17.34,1181,0.022422194,0.032664126,0.037485517,0.033709383,0.262432866,0.4383848,0.345884507,0.857192128,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-06 10:00:00-05:00,41.1644,-96.4806,Lincoln,21.0283,14.85,17.08,1196,0.03263236,0.045948835,0.053332988,0.048067947,0.293325424,0.458967193,0.346482252,0.810395992,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-07 10:00:00-05:00,41.1644,-96.4806,Lincoln,22.7555,22.44,21.81,1212,0.024220706,0.03403881,0.040513805,0.036065774,0.279586118,0.442687769,0.348400328,0.849334695,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-08 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.2815,23.01,22.42,1227,0.027695238,0.040429479,0.047142307,0.041968288,0.298067696,0.456287023,0.363467516,0.831539023,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-09 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.4139,14.29,21.86,1241,0.023123526,0.030799706,0.033883271,0.029217532,0.288338188,0.44698691,0.362202204,0.877289963,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-10 10:00:00-05:00,41.1644,-96.4806,Lincoln,21.4094,11.36,16.56,1253,0.024053622,0.034424017,0.03824866,0.035036629,0.284008657,0.44995745,0.368305576,0.855517291,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-11 10:00:00-05:00,41.1643,-96.4807,Lincoln,22.6828,10.48,18.4,1268,0.024064361,0.03068943,0.033223284,0.02900291,0.269123174,0.432361139,0.348767717,0.874273212,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-12 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.3834,15.6,22.59,1283,0.024601645,0.035635604,0.039720188,0.03613249,0.277002388,0.442736172,0.342313496,0.849092274,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-13 10:00:00-05:00,41.1643,-96.4807,Lincoln,26.5363,14.67,22.57,1299,0.025900753,0.034642186,0.037975017,0.033197774,0.279678416,0.439799834,0.352675666,0.859628152,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-14 10:00:00-05:00,41.1643,-96.4806,Lincoln,27.1074,13.83,21.91,1311,0.02408466,0.031795871,0.035052386,0.030436786,0.278828633,0.434990938,0.348352094,0.8692094,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-15 10:00:00-05:00,41.1644,-96.4807,Lincoln,23.7285,7.311,19.11,1322,0.023837713,0.031490589,0.034568889,0.030139648,0.271820642,0.429461779,0.355172399,0.86884441,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-16 10:00:00-05:00,41.1644,-96.4807,Lincoln,24.5435,12.07,21.18,1334,0.02770271,0.038508239,0.042097418,0.038643875,0.289130766,0.453871681,0.354178905,0.843075515,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-17 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.074,10.12,20.54,1345,0.024059549,0.031943794,0.034952395,0.030603713,0.27420881,0.43389724,0.356205142,0.868229708,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-18 10:00:00-05:00,41.1643,-96.4806,Lincoln,21.6658,10.66,18.32,1355,0.024843923,0.035979266,0.04070531,0.037180565,0.265315798,0.423536923,0.340175714,0.838597118,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-19 10:00:00-05:00,41.1643,-96.4807,Lincoln,23.1753,9.13,19.5,1367,0.023993621,0.032234185,0.035280178,0.030993414,0.272136521,0.433914685,0.350428207,0.866668642,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-20 10:00:00-05:00,41.1644,-96.4806,Lincoln,22.5512,11.81,19.44,1380,0.023886025,0.033622494,0.036993911,0.033395355,0.275948327,0.435791805,0.350915323,0.857645912,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-21 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.306,12.78,20.62,1395,0.025925732,0.03559153,0.038636556,0.03492042,0.284003056,0.439910801,0.348391208,0.85291439,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-22 10:00:00-05:00,41.1644,-96.4807,Lincoln,25.8036,13.43,21.85,1410,0.028321203,0.038416409,0.04201988,0.038614978,0.288304752,0.44365983,0.352436958,0.839863177,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-23 10:00:00-05:00,41.1644,-96.4807,Lincoln,27.3955,16.48,23.64,1423,0.027306664,0.037751342,0.041131888,0.037080559,0.289277252,0.438924838,0.348196298,0.844201099,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-24 10:00:00-05:00,41.1643,-96.4809,Lincoln,27.0644,14.6,23.41,1437,0.027325431,0.038223002,0.04153948,0.037889571,0.28927721,0.436843525,0.346842187,0.840375272,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-25 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.7983,14.15,22.57,1451,0.029492861,0.040638787,0.044562583,0.040883959,0.289528613,0.435681275,0.347485799,0.828422401,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-26 10:00:00-05:00,41.1643,-96.4807,Lincoln,27.1783,11.86,22.36,1467,0.028302774,0.039745948,0.042661578,0.03923298,0.288010182,0.433718885,0.349589191,0.834093139,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-27 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.7159,15.59,22.71,1482,0.02914713,0.040821061,0.044273381,0.041134114,0.287284283,0.429219363,0.337436004,0.82509276,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-28 10:00:00-05:00,41.1644,-96.4806,Lincoln,28.9856,17.41,25.74,1493,0.0291899,0.0410502,0.044411637,0.041744866,0.290634731,0.431519441,0.34023414,0.823587515,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-29 10:00:00-05:00,41.1644,-96.4807,Lincoln,20.8045,8.446,17.86,1501,0.030897709,0.045839973,0.053234017,0.051026433,0.266523725,0.406608875,0.334049247,0.776999578,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-08-30 10:00:00-05:00,41.1643,-96.4806,Lincoln,20.5216,11.88,17.43,1510,0.025849374,0.037717193,0.041983787,0.040264144,0.264142612,0.409015164,0.331870744,0.82076119,Corn,04/20/2020
