Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1967","1967","tonnes","1077000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1968","1968","tonnes","1247000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1969","1969","tonnes","1316000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1970","1970","tonnes","1396000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1971","1971","tonnes","1670000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1972","1972","tonnes","1746000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1973","1973","tonnes","1871000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1974","1974","tonnes","1596000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1975","1975","tonnes","1792000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1976","1976","tonnes","2248000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1977","1977","tonnes","1879000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1978","1978","tonnes","1692000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1979","1979","tonnes","2087000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1980","1980","tonnes","1472000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1981","1981","tonnes","2356000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1982","1982","tonnes","2444000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1983","1983","tonnes","1784000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1984","1984","tonnes","2346000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1985","1985","tonnes","1693000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1986","1986","tonnes","2333000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1987","1987","tonnes","3154000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1988","1988","tonnes","3620000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1989","1989","tonnes","2010000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1990","1990","tonnes","1709000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1991","1991","tonnes","2142000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1992","1992","tonnes","1324000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1993","1993","tonnes","1983770","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1994","1994","tonnes","1840380","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1995","1995","tonnes","1977254","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1996","1996","tonnes","2711991","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1997","1997","tonnes","2428840","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1998","1998","tonnes","1892080","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","1999","1999","tonnes","1733030","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2000","2000","tonnes","2428100","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2001","2001","tonnes","2503950","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2002","2002","tonnes","2437745","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2003","2003","tonnes","1546840","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2004","2004","tonnes","1687000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2005","2005","tonnes","1905000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2006","2006","tonnes","2105000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2007","2007","tonnes","1905000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2008","2008","tonnes","2130000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2009","2009","tonnes","1958000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2010","2010","tonnes","1430000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2011","2011","tonnes","2005000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2012","2012","tonnes","1915000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2013","2013","tonnes","1870000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2014","2014","tonnes","1750000","","Official data"
