"","date","ndvi"
"206","2021-03-26",0.717921644223953
"207","2021-03-27",0.699991562628115
"208","2021-03-28",0.711077042758894
"209","2021-03-29",0.684742831080424
"210","2021-03-30",0.685602257786492
"211","2021-03-31",0.682552914802884
"212","2021-04-01",0.673741022648295
"213","2021-04-02",0.661225198368345
"214","2021-04-03",0.649934502341693
"215","2021-04-04",0.636296246899188
"216","2021-04-05",0.619264966103777
"217","2021-04-06",0.602933313288717
"218","2021-04-07",0.588926131658453
"219","2021-04-08",0.590687768583115
"220","2021-04-09",0.579151586890721
"221","2021-04-10",0.570685125069842
"222","2021-04-11",0.558720938578066
"223","2021-04-12",0.550127676289602
"224","2021-04-13",0.546475104839898
"225","2021-04-14",0.540216271716055
"226","2021-04-15",0.53879246474254
"227","2021-04-16",0.532571912857867
"228","2021-04-17",0.529697382289294
"229","2021-04-18",0.517374676001185
"230","2021-04-19",0.518716307657981
"231","2021-04-20",0.523868108116292
"232","2021-04-21",0.522294197982379
"233","2021-04-22",0.509954110340348
"234","2021-04-23",0.512965159631107
"235","2021-04-24",0.512321461916657
"236","2021-04-25",0.504760590525311
"237","2021-04-26",0.497524631763814
"238","2021-04-27",0.493928305912932
"239","2021-04-28",0.479004040706954
"240","2021-04-29",0.45338372440795
"241","2021-04-30",0.449869851136343
"242","2021-05-01",0.47597721000821
"243","2021-05-02",0.442750892464533
"244","2021-05-03",0.445433344631827
"245","2021-05-04",0.469690821315041
"246","2021-05-05",0.473045810297184
"247","2021-05-06",0.471594930403903
"248","2021-05-07",0.439062551143184
"249","2021-05-08",0.430807626974168
"250","2021-05-09",0.421609179970511
"251","2021-05-10",0.42214723466246
"252","2021-05-11",0.426902828054626
"253","2021-05-12",0.423292886813748
"254","2021-05-13",0.422386321004028
"255","2021-05-14",0.427989121523565
"256","2021-05-15",0.427823402124287
"257","2021-05-16",0.42686950044531
"258","2021-05-17",0.429475956384176
"259","2021-05-18",NA
"260","2021-05-19",NA
"261","2021-05-20",NA
"262","2021-05-21",NA
"263","2021-05-22",NA
"264","2021-05-23",NA
"265","2021-05-24",NA
"266","2021-05-25",NA
"267","2021-05-26",NA
"268","2021-05-27",NA
"269","2021-05-28",NA
"270","2021-05-29",NA
"271","2021-05-30",NA
"272","2021-05-31",NA
"273","2021-06-01",NA
"274","2021-06-02",NA
"275","2021-06-03",NA
"276","2021-06-04",NA
"277","2021-06-05",NA
"278","2021-06-06",NA
"279","2021-06-07",NA
"280","2021-06-08",NA
"281","2021-06-09",NA
"282","2021-06-10",NA
"283","2021-06-11",NA
"284","2021-06-12",NA
"285","2021-06-13",NA
"286","2021-06-14",NA
"287","2021-06-15",NA
"288","2021-06-16",NA
"289","2021-06-17",NA
"290","2021-06-18",NA
"291","2021-06-19",NA
"292","2021-06-20",NA
"293","2021-06-21",NA
